Localidades,Municipio
Agaete,Agaete
Casas del Camino,Agaete
El Risco,Agaete
El Turman,Agaete
Las Cuevecillas,Agaete
Puerto de las Nieves,Agaete
San Pedro,Agaete
Urbanización el Palmeral,Agaete
Urbanización la Suerte,Agaete
Vecindad de Enfrente,Agaete
Agüimes,Agüimes
Cruce de Arinaga,Agüimes
Cueva Bermeja,Agüimes
Edén,Agüimes
El Oasis,Agüimes
La Banda,Agüimes
La Goleta,Agüimes
Las Palmillas,Agüimes
Las Rosas,Agüimes
Llano Blanco,Agüimes
Los Corralillos,Agüimes
Los Espinales,Agüimes
Montaña los Vélez,Agüimes
Montaña San Francisco,Agüimes
Pie de la Cuesta,Agüimes
Playa de Arinaga,Agüimes
Polígono Industrial de Arinaga,Agüimes
Polígono Residencial de Arinaga,Agüimes
Rosas Viejas,Agüimes
Temisas,Agüimes
Agua de Bueyes,Antigua
Antigua,Antigua
Caleta de Fuste,Antigua
Costa de Antigua,Antigua
El Castillo,Antigua
Triquivijate,Antigua
Urbanización Fuerteventura Golf Club,Antigua
Valles de Ortega,Antigua
Argana Alta,Arrecife
Argana Baja,Arrecife
Arrecife,Arrecife
El Cable,Arrecife
La Concha,Arrecife
Maneje,Arrecife
Acusa Verde,Artenara
Artenara,Artenara
Coruña,Artenara
Las Arbejas,Artenara
Las Cuevas,Artenara
Lugarejos,Artenara
Arucas,Arucas
Bañaderos,Arucas
Camino de la Cruz Alto,Arucas
Cardonal,Arucas
Cardones,Arucas
Cruz de Pineda,Arucas
El Angostillo,Arucas
El Arco,Arucas
El Carril,Arucas
El Cerrillo,Arucas
El Guincho,Arucas
El Hornillo Alto,Arucas
El Hornillo Bajo,Arucas
El Lomito,Arucas
El Peñón,Arucas
El Perdigón,Arucas
El Picacho,Arucas
El Puertillo,Arucas
El Risco,Arucas
El Tarahal,Arucas
El Terrero,Arucas
Escaleritas,Arucas
Fuente del Laurel,Arucas
Hinojal,Arucas
Hoya de Aríñez,Arucas
Hoya de San Juan,Arucas
Juan XXIII,Arucas
La Cuestilla,Arucas
La Fula,Arucas
La Goleta,Arucas
La Guitarrilla,Arucas
La Hondura,Arucas
La Montaña,Arucas
La Montañeta,Arucas
La Palmita,Arucas
La Pedrera,Arucas
Las Chorreras,Arucas
La Solana,Arucas
Las Palmeras,Arucas
Llano Blanco,Arucas
Lomo de Arucas,Arucas
Lomo de Quintanilla,Arucas
Lomo de San Pedro,Arucas
Lomo Espino,Arucas
Lomo Grande,Arucas
Lomo Ramírez,Arucas
Los Altabacales,Arucas
Los Castillos,Arucas
Los Peñones,Arucas
